ID,CourseName,locationText
H300,Bachelor of Health Sciences,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses and Online"
H400,Bachelor of Health Sciences (Honours),"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
D391,Bachelor of Health Sciences/Bachelor of Arts,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
H413,Bachelor of Health and Medical Science (Honours),"This course is offered  in Trimester one, at Geelong Waurn Ponds Campus"
E377,Bachelor of Health and Physical Education,"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
M335,Bachelor of Human Resource Management (Psychology),"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
S326,Bachelor of Information Technology,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
S470,Bachelor of Information Technology (Honours),"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A326,Bachelor of International Studies,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
A306,Bachelor of International Studies (Global Scholar),"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D338,Bachelor of International Studies/Bachelor of Commerce,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
M312,Bachelor of Laws,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses"
D397,Bachelor of Laws/Bachelor of Cyber Security,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
D323,Bachelor of Laws/Bachelor of International Studies,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waterfront Campuses*"
S337,Bachelor of Marine Science,"This course is offered  in Trimester one and two, at Geelong Waurn Ponds and Warrnambool Campuses"
M336,Bachelor of Marketing (Psychology),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H309,Bachelor of Medical Imaging,"This course is offered  in Trimester one, at Geelong Waurn Ponds Campus"
H326,Bachelor of Nursing,"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses"
H329,Bachelor of Nursing (Clinical Leadership),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
H421,Bachelor of Nursing (Honours),"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses"
D355,Bachelor of Nursing/Bachelor of Midwifery,"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses"
D387,Bachelor of Nursing/Bachelor of Psychological Science,"This course is offered  in Trimester one, at Melbourne Burwood, Geelong Waterfront, and Warrnambool Campuses"
D381,Bachelor of Nursing/Bachelor of Public Health and Health Promotion,"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waterfront Campuses"
H315,Bachelor of Nutrition Science,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus"
H318,Bachelor of Nutrition Science (Dietetics Pathway),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
H418,Bachelor of Nutrition Science (Honours),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
D301,Bachelor of Nutrition Science/Bachelor of Commerce,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
H355,Bachelor of Occupational Therapy,"This course is offered  in Trimester one, at Geelong Waterfront and Warrnambool Campuses"
A336,"Bachelor of Politics, Philosophy and Economics","This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
M348,Bachelor of Property and Real Estate,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
D325,Bachelor of Property and Real Estate/Bachelor of Commerce,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood Campus and Online"
D396,Bachelor of Property and Real Estate/Bachelor of Laws,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
H344,Bachelor of Psychological Science,"This course is offered  in Trimester one, two, and three, at Melbourne Burwood, Geelong Waurn Ponds, and Warrnambool Campuses"
H452,Bachelor of Psychological Science (Honours),"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waterfront Campuses and Online"
H345,Bachelor of Psychology (Honours),"This course is offered  in Trimester one, two, and three, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
H313,Bachelor of Public Health and Health Promotion,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
H412,Bachelor of Public Health and Health Promotion (Honours),"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
D388,Bachelor of Public Health and Health Promotion/Bachelor of Commerce,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
S320,Bachelor of Science,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
S400,Bachelor of Science (Honours),"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waurn Ponds Campuses"
D304,Bachelor of Science / Master of Teaching (Secondary),"This course is offered  in Trimester one, at Melbourne Burwood Campus"
D331,Bachelor of Science/Bachelor of Laws,"This course is offered  in Trimester one and two, at Melbourne Burwood Campus"
H330,Bachelor of Social Work,"This course is offered  in Trimester one, at Geelong Waterfront and Warrnambool Campuses"
S464,Bachelor of Software Engineering (Honours),"This course is offered  in Trimester one and two, at Melbourne Burwood Campus and Online"
M320,Bachelor of Sport Development,"This course is offered  in Trimester one, at Melbourne Burwood Campus"
D302,Bachelor of Vision Science/Master of Optometry,"This course is offered  in Trimester one, at Geelong Waurn Ponds Campus"
S369,Bachelor of Zoology and Animal Science,"This course is offered  in Trimester one and two, at Geelong Waurn Ponds Campus"
A221,Diploma of Arabic,"This course is offered  in Trimester one, at Melbourne Burwood Campus and Online"
A222,Diploma of Chinese,"This course is offered  in Trimester one, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A223,Diploma of Indonesian,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
A224,Diploma of Spanish,"This course is offered  in Trimester one and two, at Melbourne Burwood and Geelong Waurn Ponds Campuses and Online"
